long_name,value_eur,club_name
三好 康児,2500000.0,Antwerp
Pieter Gerkens,2100000.0,Antwerp
Mathieu Maertens,2200000.0,OH Leuven
Bart Nieuwkoop,2200000.0,Union Saint-Gilloise
Gianni Bruno,1800000.0,Sint-Truiden
Roman Neustädter,600000.0,Westerlo
Kristof D'Haene,1300000.0,Kortrijk
Massimo Bruno,1900000.0,Kortrijk
Adrien Trebel,1500000.0,Anderlecht
Zinho Gano,1900000.0,Zulte-Waregem
Raphael Holzhauser,1800000.0,OH Leuven
Núrio Domingos Matias Fortuna,2000000.0,Gent
Gojko Cimirot,1600000.0,Standard Liège
Maarten Vandevoordt,3400000.0,Genk
Fábio Daniel Soares Silva,3800000.0,Anderlecht
Sebastiano Esposito,3800000.0,Anderlecht
Gastón Luciano Ávila,3300000.0,Antwerp
Nicolas Thierry Raskin,3600000.0,Standard Liège
Jean Harisson Marcelin,3300000.0,Cercle Brugge
Matisse Samoise,3500000.0,Gent
Leonardo Adelino da Silva Lopes,3200000.0,Cercle Brugge
Alhassan Yusuf Abdullahi,3200000.0,Antwerp
Jules Van Cleemput,2100000.0,Sporting Charleroi
町田 浩樹,2200000.0,Union Saint-Gilloise
Merveille Bopé Bokadi,2100000.0,Standard Liège
Aron Leonard Dønnum,2400000.0,Standard Liège
Jelle Bataille,2200000.0,Antwerp
上田 綺世,2400000.0,Cercle Brugge
Cameron Puertas Castro,2400000.0,Union Saint-Gilloise
Sofian Kiyine,2300000.0,OH Leuven
Ismaël Kandouss,2100000.0,Union Saint-Gilloise
Stjepan Lončar,2000000.0,Kortrijk
Guillaume Hubert,1500000.0,KV Oostende
Jordi Vanlerberghe,1800000.0,Mechelen
Alessandro Ciranni,1900000.0,Zulte-Waregem
Casper De Norre,2100000.0,OH Leuven
坂元 達裕,2100000.0,KV Oostende
Mousa Mohammad Mousa Sulaiman Al-Tamari,2100000.0,OH Leuven
José Rodríguez Martínez,1800000.0,Union Saint-Gilloise
Stipe Perica,1900000.0,Standard Liège
Robert Bauer,1600000.0,Sint-Truiden
Aleksandar Radovanović,1500000.0,Kortrijk
Jelle Vossen,1000000.0,Zulte-Waregem
Christian Brüls,1000000.0,Sint-Truiden
Joren Dom,1100000.0,OH Leuven
